block_number,transaction_index,transaction_hash,address,slot,from_value,to_value,chain_id
18732000,0,0xe9942a99c6f553d5ba4c6d2cd8f7b480d321377fc1e1a19897c3519b5de517d3,0xd729345aa12c5af2121d96f87b673987f354496b,0x7d4e6feaef1b07fef897d238ae751b6cde7c16b70d2fd38a7d8502b89d860b10,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000001,1
18732000,2,0xe064955bfaa72ba0a4038d1e1b9e10fecc4281ebfb8d3828606c7bf24820c7a9,0xf411903cbc70a74d22900a5de66a2dda66507255,0x4b7a99536838a7e4bf43dd05ded4b6a9ac28f6fedf97fa2e42c17f5fb7f3d655,0x0000000000000000000000000000000000000000004609cbc6945fc75a76ba16,0x00000000000000000000000000000000000000000048db01cf7c0c289312ba16,1
18732000,2,0xe064955bfaa72ba0a4038d1e1b9e10fecc4281ebfb8d3828606c7bf24820c7a9,0xf411903cbc70a74d22900a5de66a2dda66507255,0x6d7f7c48eb98af29cd33c4de7aeb55f5f44387c22157d8d646de17a514ce37ed,0x00000000000000000000000000000000000000000002d13608e7ac61389c0000,0x0000000000000000000000000000000000000000000000000000000000000000,1
18732000,3,0xdf5e776e3d0c675b8fff1038327108367c823a5f560737f66651fc5ee88ff671,0xdac17f958d2ee523a2206206994597c13d831ec7,0x94bf8e606115de0e6bcb4993bd13f14880265a587ca849fa83e6c2e41c99c492,0x0000000000000000000000000000000000000000000000000000002081d3e0e0,0x00000000000000000000000000000000000000000000000000000020805668a0,1
18732000,3,0xdf5e776e3d0c675b8fff1038327108367c823a5f560737f66651fc5ee88ff671,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc121e620f8d3e10e62e79ca43636dc70b95561ee846c3c180d20cb2fd864a5fc,0x0000000000000000000000000000000000000000000000000000000001ab8d20,0x0000000000000000000000000000000000000000000000000000000003290560,1
18732000,12,0xa98fcfd1739302a87ce561f2f333c42316aad66b641184429a9d088cbc06a306,0x45b6d1cfcc0218f4d57db1a2895c0f14c8c3cf96,0x67319767647f62de86817c395ec75518f72463258f3ac0d2e3ee3c141c18ae12,0x00000000000000000000000000000000000000000045b26aa5b8be290112e72b,0x0000000000000000000000000000000000000000004561faa7ef12e27b831d82,1
18732000,12,0xa98fcfd1739302a87ce561f2f333c42316aad66b641184429a9d088cbc06a306,0x45b6d1cfcc0218f4d57db1a2895c0f14c8c3cf96,0x74a7812bab1d61f4d0d775f7c8376249f8d9a4b2c6a68fb4eac58f546c5a7a00,0x00000000000000000000000000000000000000000000782602ac340aaa3c90a3,0x00000000000000000000000000000000000000000000c8960075df512fcc5a4c,1
18732000,12,0xa98fcfd1739302a87ce561f2f333c42316aad66b641184429a9d088cbc06a306,0xb053b05e92472098ff8728cbf910cd332dd96ac6,0x0000000000000000000000000000000000000000000000000000000000000008,0x6571481f000000000004e4a83cc87544282a00000045b26aa5b8be290112e72b,0x65714843000000000004ea58d99c5b2d282a0000004561faa7ef12e27b831d82,1
18732000,12,0xa98fcfd1739302a87ce561f2f333c42316aad66b641184429a9d088cbc06a306,0xb053b05e92472098ff8728cbf910cd332dd96ac6,0x0000000000000000000000000000000000000000000000000000000000000009,0x00000000000000000000000000000000000016c41c05c3a7638f5cb67e0a3ad8,0x00000000000000000000000000000000000016c6a30c2635000b55ed48ca0074,1
18732000,12,0xa98fcfd1739302a87ce561f2f333c42316aad66b641184429a9d088cbc06a306,0xb053b05e92472098ff8728cbf910cd332dd96ac6,0x000000000000000000000000000000000000000000000000000000000000000a,0x0000000000000000000000000186045722ec79fd8bd003fc9f110408411d87ac,0x00000000000000000000000001860657e87298b1108db7f4949831df89821eec,1
18732000,12,0xa98fcfd1739302a87ce561f2f333c42316aad66b641184429a9d088cbc06a306,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x113c6deb60fdcba9ea405ce450df7c8c78155d085093a65597dcaa7b4bb21d4b,0x000000000000000000000000000000000000000000000004e4a83cc87544282a,0x000000000000000000000000000000000000000000000004ea58d99c5b2d282a,1
18732000,14,0xcb4fe91ed328403cae42f022a7ae39d57c26bbbac437cc61ce16e5b93a7a3a50,0x69864dd57e66d4ad9aaa4b7811e686ffdc79e71c,0xd3f976dfa283b0afb6ee48e2cb595db66048c0bfe38aa9eb1a33f84ba3618b53,0x0000000000000000000000000000000000000000000000000000000000000000,0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,1
18732000,16,0x26dfab5c8604ffba8bd7716ec51f5f31836d0af755fd718d38ae78bd6e7e424b,0x54a2d1df72b86f6470e76eb6ee46d3051bca6275,0x4cace591073fa1171e3da84c051f1343d1f37f0553b0bdb8bf1eceb6db358e57,0x0000000000000000000000000000000000000000000000000000000000000000,0x00000000000000000000000000000000000000000000002625858fbe5ae00000,1
18732000,16,0x26dfab5c8604ffba8bd7716ec51f5f31836d0af755fd718d38ae78bd6e7e424b,0xe55d97a97ae6a17706ee281486e98a84095d8aaf,0x8dc08353269228d72b7ee4471f5bb7e5f4b5c810df5ae15de884528a52e01754,0x00000000000000000000000000000000000000000002102272bcef7988500000,0x000000000000000000000000000000000000000000020ffc4d375fbb2d700000,1
18732000,16,0x26dfab5c8604ffba8bd7716ec51f5f31836d0af755fd718d38ae78bd6e7e424b,0xe55d97a97ae6a17706ee281486e98a84095d8aaf,0xd50a611b3f9986a20cf7027de6547577ef71d113928cc2c530cd7bf6327556c8,0x00000000000000000000000000000000000000000000009896163ef96b800000,0x0000000000000000000000000000000000000000000000bebb9bceb7c6600000,1
18732000,17,0xcee47ffe1e3750b7c588c33db03e775f1df6ebd81fa89695ce2a3b526fcf541f,0x1940a7b039ab210689aafb332c5f07b523d81f36,0x0000000000000000000000000000000000000000000000000000000000000002,0x000000000000000000000000000000000000000000727f77a3984551f1933cd2,0x00000000000000000000000000000000000000000072857107fc20e595ec75b6,1
18732000,17,0xcee47ffe1e3750b7c588c33db03e775f1df6ebd81fa89695ce2a3b526fcf541f,0x1940a7b039ab210689aafb332c5f07b523d81f36,0x39d44bfb6139a8f54991c9a8c9b2aabc132bf0af0da048ac20e2b65bf874f709,0x00000000000000000000000000000000000000000000077b3122ee6b519438e3,0x000000000000000000000000000000000000000000000d749586c9fef5ed71c7,1
18732000,17,0xcee47ffe1e3750b7c588c33db03e775f1df6ebd81fa89695ce2a3b526fcf541f,0xce3ab27f003fda9aa4187288549e8978cd33b6b5,0x2a9b81080898b96c49b6e5474fc9f8a483d5a1036e1b74c1a372832353f44001,0x0000000000000000000000000000000000000000000000000000000064c3ba29,0x000000000000000000000000000000000000000000000000000000006571725f,1
18732000,17,0xcee47ffe1e3750b7c588c33db03e775f1df6ebd81fa89695ce2a3b526fcf541f,0xce3ab27f003fda9aa4187288549e8978cd33b6b5,0xda70a2ee975d3f0961a9b63d204c5f5bc64ca338ec09bdbe72576001581ca1be,0x0000000000000000000000000000000000000000000000000000000000000003,0x0000000000000000000000000000000000000000000000000000000000000004,1
18732000,20,0x9349cbb0a3acbd69421e1008434f914aed16aa8f84ddee94094bbc40cad9e76d,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0x03f6834f6ea896dabf6b097409a3f966e43e2bfb011ace2efea5268257ea3860,0x0000000000000000000000000000000000000000000000000000000000000001,0x0000000000000000000000000000000000000000000000000000000000000002,1
18732000,20,0x9349cbb0a3acbd69421e1008434f914aed16aa8f84ddee94094bbc40cad9e76d,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0x2891b9db78752d7619299e1cbd79433c87098c93ce4ff2b058be400e0587d946,0x0000000000000000000000000000000000000000000000000000000000008fc9,0x0000000000000000000000000000000000000000000000000000000000008fca,1
18732000,20,0x9349cbb0a3acbd69421e1008434f914aed16aa8f84ddee94094bbc40cad9e76d,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0x4dcfcb695032774559e5317a850b9fc4d25e995dc32c969681742b34e7fe0424,0x0000000000000000000000000000000000000000000000000000000000000000,0x00000000000000000000000000000000000000000000000000000000011dd3e0,1
18732000,20,0x9349cbb0a3acbd69421e1008434f914aed16aa8f84ddee94094bbc40cad9e76d,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0x5c75e7ea327cef0f87bf198af5e31113c0e90e04a198b32b3a88351833348e09,0x0000000000000000000000000000000000000000000000002b9a330abe353b65,0x0000000000000000000000000000000000000000000000000000000000000000,1
18732000,20,0x9349cbb0a3acbd69421e1008434f914aed16aa8f84ddee94094bbc40cad9e76d,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0x5d452f522a78f0a5154968a7a73b62d48c0116d6110be63745ec68908cc3efce,0x00000000000000000000000000000000000000000000182859268d60e6d74e7c,0x00000000000000000000000000000000000000000000182884c0c06ba50c89e1,1
18732000,20,0x9349cbb0a3acbd69421e1008434f914aed16aa8f84ddee94094bbc40cad9e76d,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0x809fbffce3f94774168b4bb185e657f53a27b1a0054c754b29e4be72bffe1e9b,0x0000000000000000000000000000000000000000000000000000000000000001,0x0000000000000000000000000000000000000000000000000000000000000002,1
18732000,20,0x9349cbb0a3acbd69421e1008434f914aed16aa8f84ddee94094bbc40cad9e76d,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0x9d473cf840fd067feada5295d1c2b23f4ffac53d9eb846e12259d5fd8acda30a,0x0000000000000000000000000000000000000000000000000000000000000000,0x000000000000182884c0c06ba50c89e1000000000000000000000000011dd3e0,1
18732000,20,0x9349cbb0a3acbd69421e1008434f914aed16aa8f84ddee94094bbc40cad9e76d,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0xc209cb657c6275ae30cdce077a12f1ec9e10aceb2e114ccdf1b246f59deeeee4,0x0000000000000000000000000000000000000000000000000000000000000000,0x000000000000182884c0c06ba50c89e1000000000000000000000000011dd3e0,1
18732000,20,0x9349cbb0a3acbd69421e1008434f914aed16aa8f84ddee94094bbc40cad9e76d,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0xd3af873fd666a532c866b90001c5ce0710d2262b7e99a1c23f6cd247bb59f123,0x0000000000000000000000000000000000000000000000000000000000000000,0x00000000000000000000000000000000000000000000000000000000011dd3e0,1
18732000,20,0x9349cbb0a3acbd69421e1008434f914aed16aa8f84ddee94094bbc40cad9e76d,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0xdab601146720ae63893ffe4b9fae21f17f83852830b9a99c151c2ca44e3ab31e,0x0000000000000000000000000000000000000000000000000000000000008fc9,0x0000000000000000000000000000000000000000000000000000000000008fca,1
18732000,22,0x0b93dea3d0f2bba3096b3ee1c372b3083bc4971b874e4ab623d10d0f82273b9c,0x33e07f5055173cf8febede8b21b12d1e2b523205,0x154cf14dc7ffde8188a3ca517338ed16b49712bcf8e143697493aac4e42e3d2d,0x0000000000000000000000000000000000000000000000046be2aaba477246fc,0x0000000000000000000000000000000000000000000001c12af92becaf1246fc,1
18732000,22,0x0b93dea3d0f2bba3096b3ee1c372b3083bc4971b874e4ab623d10d0f82273b9c,0x33e07f5055173cf8febede8b21b12d1e2b523205,0x7d968fe42312070ba0772763e78255166e749ca3382b0e2cc5ac8dcd0a836ea9,0x000000000000000000000000000000000000000000053d37315de0c42a408ece,0x000000000000000000000000000000000000000000053b7a72475f91c2a08ece,1
18732000,22,0x0b93dea3d0f2bba3096b3ee1c372b3083bc4971b874e4ab623d10d0f82273b9c,0xc8c1b41713761281a520b7ad81544197bc85a4ce,0x43c919c0f8354584b35e5cceb3329ce4e9592261da4194d3a1c179d26d0a0eea,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000001,1
18732000,23,0x5e1607ed785494b853eece2ef177f1a38b73b8ddf43fb518fa33ad1b2bdffc86,0x367e2d443988e4b222fbfdafdb35eeb7dda9fbb7,0x0000000000000000000000000000000000000000000000000000000000000008,0x65714837000000000019bd73f6ef8ed647fb000000000000c2a5770deb44220c,0x6571484300000000001ab2589adaa346b3fb000000000000bbb11b080a3c106d,1
